X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11
3669.88	43.1	74065.1	4582.9	2.51	0.34	74.86	15.05	4.9	1	1
3473.95	108.13	58117.3	5539.8	5.51	0.15	107.32	19.97	5.1	2	1
2295.1	13.82	21118.5	2950.4	10.91	-0.72	96.75	17.34	2.9	2	2
4675.56	186.18	68521.3	2243.1	8.27	0.17	195.12	13.4	3.4	2	3
6125.96	161.79	57805.1	7747.1	9.15	0.5	180.44	17.64	4.6	2	4
2134.94	8.94	37806.9	402.4	5.51	0.15	104.88	16.22	4.5	4	1
5031.66	365.04	50935.3	3140.6	8.54	0.55	256.1	18.8	4.6	3	1
3367.45	220.32	35602.1	2086.2	7.07	-0.49	126.83	19.86	2.3	4	2
6519.45	127.64	46176.8	8846.2	12.54	1.24	203.25	17.42	4.9	4	3
4876.37	105.69	42053.2	5673.1	8.85	0.31	119.51	21.41	2.8	2	5
2468.27	57.72	36829.7	2761.8	5.38	0.37	116.26	16.32	3.1	2	6
2533.31	23.58	33612.7	1991.8	5.43	-0.65	142.28	14.51	4.2	4	4
2408.11	13.82	21412.8	1971.5	8.48	0.64	89.43	19.35	4.3	1	2
2337.38	13.82	20416.9	1737.4	7.8	1.01	84.55	20.02	4.2	3	2
4586.95	86.99	36272	10694.2	10.34	0.11	119.51	15.26	5.5	4	5
2729.24	165.85	23093.3	8618.6	5.15	0.04	80.49	15.87	3.6	1	3
3289.4	116.26	26878.6	7747.9	6.64	0.68	136.58	7.81	3.4	4	6
2800.78	42.28	39572	4565.8	5.45	0.66	78.86	16	4.2	3	3
3264.2	52.84	51866.1	6022.7	6.31	-0.1	136.58	17.44	3.6	2	7
3453.62	165.04	58749.8	3721.1	6.35	-0.03	138.21	17.98	3.1	3	4
1741.45	10.57	23990.8	861	7.37	-1.63	75.61	20.99	1.6	4	7
2035.75	13.82	25694.9	3571.5	8.39	-0.43	102.44	21.66	3.4	3	5
1578	8.13	23736.3	2845.5	5.15	0.04	76.42	21.46	2.7	1	4
4167.44	58.44	34314.3	5060.1	12.88	0.22	136.58	24.78	2.8	3	6
2799.97	21.14	22809.5	3552	9.14	-0.74	88.62	24.96	3.9	5	1
2059.73	8.63	10539.45	1424.14	2.02	-1.99	14.01	7.64	2.01	1	5
3426.46	158.59	81408.48	2170.6	10.76	0.25	123.69	21.77	2.88	4	8
2984.44	37.16	56144.86	5821.66	5.74	-1.23	230.23	19.43	3.13	3	7
2017.6	130.03	44778.04	3396.44	9.46	1.23	113.1	14.29	3.11	2	8
3958.53	130.06	48659.99	5841.14	10.44	0.34	130	20.34	2.86	4	9
2828.29	171.04	58715.26	4498.98	11.59	-0.08	88.69	19.76	4.88	2	9
1159.09	67.9	37207.49	4098.27	9.3	-0.6	96.69	16.14	4.16	5	2
1740.05	34.84	22956.77	1905.11	7.39	1.58	108.13	7.8	4.87	2	10
5663.95	112.5	52866.64	6378.08	10.38	1.29	135.08	22.06	5.32	5	3
1226.58	24.92	34869.61	4396.87	11.96	0.99	47.74	22.2	3.49	2	11
1338.07	46.98	8362.74	3770.47	3.56	-1.3	168.9	13.91	2.66	3	8
6004.02	262.34	30648.92	3920.41	10.64	1.44	200.98	22.24	5.45	5	4
3359.05	239.01	42522.04	4945.14	6.13	0.84	37.7	17.75	2.25	4	10
2763.09	24.97	22252.84	11751.1	7.33	0.05	108.2	18.64	4.09	4	11
3886.42	124.59	34230.51	6356.31	2.13	-0.78	152.49	12.82	4.63	4	12
5077.56	234.9	61955.89	2878.95	3.31	-1.94	139.1	16.2	2.29	4	13
5234.29	141.5	21865.41	3362.36	5.65	-1.63	167.3	15.87	4.91	4	14
3501.68	132.13	42040.69	6065.48	8.14	-0.54	112.54	26.28	3.96	2	12
2255.6	197.85	47803.92	4573.31	5.71	-1.41	88.39	20.05	3.04	4	15
3712.29	191.13	35695.03	1582.39	2.38	-1.34	131.18	16.6	4.41	4	16
806.34	44.17	10367.09	5177.41	5.82	1.95	113.47	17.81	4.74	2	13
421.98	211.71	31649.65	6469.56	5.35	-0.22	191.3	14.56	3.56	4	17
2560.9	78.96	42917.29	6211.23	11.52	-1.52	130.61	20	2.14	4	18
2961.91	279.94	26372.56	6080.41	10.61	-1.98	138.03	14.18	3.73	1	6
2865.97	13.77	59056.49	5309.69	9.92	-1.96	127.42	17.74	5.6	3	9
2520.47	129.26	24429.49	5293.38	9.28	-0.49	23.1	20.57	2.21	4	19
2977.82	120.19	19207.44	3452.43	3.33	0.13	-5.41	11.39	5.33	4	20
6094.32	36.13	25179.04	2894.05	7.82	0.28	95.51	18.98	4.31	2	14
2362.01	109.15	34094.75	6439.4	10.22	0.41	172.75	19.49	2.85	2	15
1093.87	68.18	54250.17	1869.35	2.96	0.43	29.71	21.54	5.41	2	16
3370.6	297.22	52301.52	6433.33	7.33	-1.34	170.27	12.95	3.4	3	10
2487.31	144.78	25653.94	3590.9	4.43	0.65	153.61	13.63	5.81	1	7
3287.77	88.91	47661.53	6882.34	3.51	-0.2	121.11	20.01	3.2	3	11
2798.69	129.5	50698	2102.2	6.92	-0.59	140.11	14.98	5.69	3	12
4468.89	278.62	24869.12	1174.45	4.21	-1.77	129.1	17.76	2.56	5	5
