X1	X2	X3	X4	X5	X6	Y
M	38	CR	2	3	1	1400
M	48	Sol	2	3	1	1000
M	30	Sol	2	3	1	900
M	61	UR	1	3	1	600
M	61	Sol	2	3	1	900
M	38	Sol	2	3	1	2500
M	36	CR	2	3	1	800
M	19	Sol	2	3	1	600
M	38	Div	3	3	1	500
M	34	UR	1	3	1	1000
M	48	CR	1	3	1	1200
M	29	Sol	2	3	1	600
F	38	Viu	2	3	1	500
M	58	UR	2	3	1	800
M	66	CR	2	3	1	600
M	45	Sol	5	3	1	500
M	83	CR	1	3	1	500
M	41	Sol	1	3	1	400
M	57	UR	2	3	1	800
M	21	Sol	3	3	1	2000
M	44	CR	5	6	2	1750
M	30	UR	3	5	2	2300
M	53	CR	2	7	2	2260
M	40	Sol	5	1	2	2500
M	53	Sol	5	1	2	2500
M	26	Sol	3	4	2	2200
M	20	Sol	2	7	2	2300
M	21	UR	2	4	2	2600
M	39	Div	2	7	2	960
F	26	Sol	5	0	2	250
M	23	Sol	3	6	2	1500
M	52	Sol	3	4	2	5600
M	45	UR	4	6	2	3500
F	34	UR	5	7	2	2800
M	39	UR	5	0	2	2800
M	25	UR	5	6	2	2500
M	44	UR	2	5	2	2700
M	34	UR	2	4	2	2500
F	31	CR	5	0	2	1200
F	43	Viu	3	7	2	2700
M	21	Sol	5	2	3	2000
M	44	Sol	2	6	3	3000
M	66	UR	2	6	3	1000
M	42	CR	5	6	3	967
M	29	UR	3	5	3	600
M	24	UR	2	5	3	1700
M	34	Sol	2	6	3	1200
M	32	Sol	2	5	3	967
F	25	UR	2	6	3	1400
M	27	Sol	2	6	3	1400
M	26	UR	2	6	3	1500
F	31	UR	2	2	3	1800
M	41	Div	3	6	3	1000
M	65	Viu	2	6	3	1000
F	31	Div	4	6	3	1000
M	36	UR	4	6	3	1000
F	60	UR	3	6	3	500
M	27	Sol	3	6	3	1500
M	30	Sol	2	6	3	1100
F	29	Sol	3	2	3	967
F	22	Sol	4	2	4	3400
M	59	CR	4	6	4	1500
M	29	Sol	5	0	4	4000
M	31	UR	2	6	4	5200
M	48	CR	5	0	4	3200
F	44	Sol	5	0	4	2800
F	34	Sol	4	2	4	2500
M	23	Sol	3	2	4	1400
F	42	Sol	3	2	4	1500
M	36	UR	5	6	4	3200
M	59	UR	2	6	4	967
M	41	CR	3	6	4	3200
M	43	CR	2	2	4	2000
M	62	CR	2	1	4	2000
F	30	UR	4	2	4	2500
M	51	CR	5	1	4	4600
M	32	CR	5	0	4	2000
M	24	Sol	3	6	4	1600
M	44	CR	5	7	4	4000
M	32	UR	2	4	4	1347
M	20	Sol	2	6	5	1500
M	36	UR	2	6	5	1700
M	22	Div	3	6	5	1500
M	30	Sol	4	6	5	1250
M	36	UR	2	6	5	1200
M	57	CR	2	6	5	1200
M	45	UR	2	6	5	1680
M	50	CR	3	6	5	1600
F	28	Sol	4	2	5	1700
M	41	UR	5	6	5	2400
M	57	CR	2	6	5	1600
M	35	Div	2	6	5	1600
M	24	Sol	2	6	5	1400
M	43	CR	3	6	5	900
M	62	UR	1	6	5	800
M	16	UR	3	6	5	500
M	38	UR	3	1	5	4000
M	53	UR	2	6	5	3000
F	22	UR	5	2	5	1700
M	33	UR	2	6	5	4000
F	53	CR	3	7	6	1000
M	33	Sol	4	2	6	3000
F	59	Sol	2	7	6	1400
F	40	UR	3	1	6	1500
M	20	Sol	2	5	6	1600
M	19	Sol	2	5	6	1600
F	32	UR	2	2	6	1200
F	46	Viu	2	2	6	1500
F	43	UR	2	2	6	600
M	42	CR	3	2	6	1300
M	21	Sol	5	2	6	1200
F	19	Sol	3	2	6	137
M	19	Sol	4	2	6	120
M	52	Div	2	2	6	1500
F	46	Div	3	7	6	967
F	52	CR	3	2	6	1000
F	63	UR	2	2	6	300
M	48	CR	3	2	6	5000
F	42	CR	4	2	6	3000
F	55	UR	2	7	6	700
M	47	CR	2	6	7	2000
M	47	CR	5	7	7	2500
M	18	Sol	3	2	7	3000
F	49	UnR	2	7	7	1350
M	28	Sol	2	5	7	967
M	47	Div	3	5	7	5000
M	30	UnR	2	5	7	2600
M	43	UR	2	5	7	1300
M	29	UR	2	2	7	4400
M	30	Div	4	5	7	3000
M	35	CR	3	7	7	1367
M	43	UR	2	2	7	987
M	52	CR	4	1	7	3000
M	26	CR	3	0	7	967
F	26	UR	5	5	7	967
M	46	UR	2	5	7	1000
M	27	Sol	2	5	7	1496
M	22	Sol	3	5	7	1000
M	31	UR	2	5	7	1200
M	38	CR	2	5	7	1000
M	36	Sol	2	7	8	1400
F	27	Sol	4	2	8	1400
F	30	CR	3	2	8	967
F	23	Sol	3	2	8	1400
M	32	UR	4	0	8	2500
F	34	CR	4	1	8	2100
M	41	CR	5	0	8	2500
M	39	CR	2	7	8	1500
M	54	Sol	2	7	8	967
F	39	Sol	4	1	8	2800
M	25	Sol	2	7	8	1300
M	22	Sol	2	7	8	1400
F	24	Sol	3	2	8	1300
M	40	Sol	2	7	8	1400
M	27	Sol	3	0	8	440
F	26	CR	5	0	8	1200
F	35	Div	4	0	8	1200
F	31	UR	2	2	8	160
M	26	UR	2	2	8	160
F	53	CR	2	2	8	400
F	54	Sol	3	2	9	1500
F	29	Viu	5	7	9	1500
F	25	Sol	4	0	9	1500
F	42	UR	5	0	9	3000
F	52	UR	3	0	9	1500
M	38	Viu	2	6	9	1200
F	37	Sol	5	0	9	3000
M	37	Div	4	6	9	1300
F	64	UR	5	0	9	1900
M	23	UR	3	7	9	1800
F	37	Viu	2	7	9	1400
F	54	CR	2	7	9	600
F	56	CR	3	7	9	1500
M	44	CR	2	1	9	1800
F	43	CR	3	7	9	1200
F	53	Sol	2	7	9	560
F	33	UR	5	0	9	1500
M	49	Sol	3	1	9	2200
F	27	Sol	5	2	9	3700
F	28	Sol	4	0	9	1770
