X1	X2	X3	X3_CR	X3_CnR	X3_UR	X3_UnR	X3_Sol	X3_Div	X3_Viu	X4	X5	X5_0	X5_1	X5_2	X5_3	X5_4	X5_5	X5_6	X5_7	X6	X6_1	X6_2	X6_3	X6_4	X6_5	X6_6	X6_7	X6_8	X6_9	Y
1	38	CR	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1400
1	48	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1000
1	30	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	900
1	61	UR	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	600
1	61	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	900
1	38	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2500
1	36	CR	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	800
1	19	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	600
1	38	Div	0	0	0	0	0	1	0	3	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	500
1	34	UR	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1000
1	48	CR	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1200
1	29	Sol	0	0	0	0	1	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	600
0	38	Viu	0	0	0	0	0	0	1	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	500
1	58	UR	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	800
1	66	CR	1	0	0	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	600
1	45	Sol	0	0	0	0	1	0	0	5	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	500
1	83	CR	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	500
1	41	Sol	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	400
1	57	UR	0	0	1	0	0	0	0	2	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	800
1	21	Sol	0	0	0	0	1	0	0	3	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2000
1	44	CR	1	0	0	0	0	0	0	5	6	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1750
1	30	UR	0	0	1	0	0	0	0	3	5	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2300
1	53	CR	1	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2260
1	40	Sol	0	0	0	0	1	0	0	5	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2500
1	53	Sol	0	0	0	0	1	0	0	5	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2500
1	26	Sol	0	0	0	0	1	0	0	3	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2200
1	20	Sol	0	0	0	0	1	0	0	2	7	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2300
1	21	UR	0	0	1	0	0	0	0	2	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2600
1	39	Div	0	0	0	0	0	1	0	2	7	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	960
0	26	Sol	0	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	250
1	23	Sol	0	0	0	0	1	0	0	3	6	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1500
1	52	Sol	0	0	0	0	1	0	0	3	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	5600
1	45	UR	0	0	1	0	0	0	0	4	6	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	3500
0	34	UR	0	0	1	0	0	0	0	5	7	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2800
1	39	UR	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2800
1	25	UR	0	0	1	0	0	0	0	5	6	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	2500
1	44	UR	0	0	1	0	0	0	0	2	5	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2700
1	34	UR	0	0	1	0	0	0	0	2	4	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2500
0	31	CR	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1200
0	43	Viu	0	0	0	0	0	0	1	3	7	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2700
1	21	Sol	0	0	0	0	1	0	0	5	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2000
1	44	Sol	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	3000
1	66	UR	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1000
1	42	CR	1	0	0	0	0	0	0	5	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	967
1	29	UR	0	0	1	0	0	0	0	3	5	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	600
1	24	UR	0	0	1	0	0	0	0	2	5	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1700
1	34	Sol	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1200
1	32	Sol	0	0	0	0	1	0	0	2	5	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	967
0	25	UR	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1400
1	27	Sol	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1400
1	26	UR	0	0	1	0	0	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1500
0	31	UR	0	0	1	0	0	0	0	2	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1800
1	41	Div	0	0	0	0	0	1	0	3	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1000
1	65	Viu	0	0	0	0	0	0	1	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1000
0	31	Div	0	0	0	0	0	1	0	4	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1000
1	36	UR	0	0	1	0	0	0	0	4	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1000
0	60	UR	0	0	1	0	0	0	0	3	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	500
1	27	Sol	0	0	0	0	1	0	0	3	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1500
1	30	Sol	0	0	0	0	1	0	0	2	6	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	1100
0	29	Sol	0	0	0	0	1	0	0	3	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	967
0	22	Sol	0	0	0	0	1	0	0	4	2	0	0	1	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3400
1	59	CR	1	0	0	0	0	0	0	4	6	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1500
