"pais"			"region"	"pib"	"pob"		"huella"	"co2"
"Estados Unidos"	1	11628083000000	298213000	12.22	5762050
"China"			8	7123712000000	1307593000	1.84	3473600
"Japon"			8	3774086000000	128085000	5.94	1224740
"India"			8	3362960000000	1103371000	1.06	1007980
"Alemania"		4	2325828000000	82689000	6.31	837425
"Reino Unido"		4	1832252000000	59668000	6.29	558225
"Francia"		4	1744352000000	65446000	7.27	363484
"Italia"		4	1621372000000	58093000	5.51	446596
"Brasil"		3	1482859000000	186405000	2.6	327858
"Rusia"			4	1408603000000	143202000	5.36	NA
"España"		4	1046249000000	43064000	5.5	304882
"Mexico"		1	1014514000000	107029000	2.69	NA
"Canada"		1	993079000000	32268000	7.66	NA
"Korea del Sur"		8	980694000000	50000000	5.6	NA
"Indonesia"		8	779719000000	222781000	1.48	286027
"Australia"		8	605942000000	20155000	8.49	NA
"Turkia"		4	552990000000	73193000	2.73	223862
"Paises Bajos"		4	520918000000	16299000	5.75	174809
"Tailandia"		8	510268000000	64233000	2.7	171696
"Sudafrica"		6	510102000000	48432000	4.04	NA
"Iran"			7	505019000000	69515000	2.47	NA
"Polonia"		4	499549000000	38530000	5.4	NA
"Argentina"		3	486366000000	38747000	3.79	138983
"Filipinas"		8	378225000000	83054000	1.42	75299.2
"Pakistan"		8	336050000000	157935000	1.09	105983
"Arabia Saudita"	5	325513000000	24573000	6.15	NA
"Belgica"		4	322645000000	10419000	5.88	125023
"Colombia"		3	322582000000	45600000	1.9	63998.4
"Ucrania"		4	303280000000	46481000	4.76	NA
"Egipto"		5	282026000000	74033000	1.7	NA
"Suecia"		4	265048000000	9041000		7.53	48760.9
"Bangladesh"		8	263434000000	141822000	0.6	29874.1
"Austria"		4	261106000000	8189000		5.45	64381.6
"Suiza"			4	247602000000	7252000		6.63	41789.4
"Malasia"		8	246036000000	25347000	3.68	NA
"Grecia"		4	243130000000	11120000	5.58	NA
"Vietnam"		8	222172000000	84238000	0.95	47530.9
"Portugal"		4	205450000000	10495000	4.99	NA
"Republica Checa"	4	197367000000	10220000	6.3	NA
"Chile"			3	183286000000	16295000	3.39	54789.6
"Rumania"		4	182343000000	21711000	3.49	NA
"Noruega"		4	175435000000	4620000		6.13	35312.2
"Dinamarca"		4	172569000000	5431000		9.88	51320.9
"Hungria"		4	167584000000	10098000	5.01	56849.5
"Israel"		5	163703000000	6725000		5.4	NA
"Irlanda"		4	160993000000	4148000		9.43	42815.3
"Venezuela"		3	155790000000	26749000	2.88	NA
"Nigeria"		6	155571000000	131530000	1.31	48145.7
"Finlandia"		4	155489000000	5249000		8.45	NA
"Peru"			3	155388000000	27968000	1.33	28193.7
"Marruecos"		5	127228000000	31478000	1.56	33236.1
"Kazakhstan"		7	112091000000	14825000	4.45	NA
"Nueva Zelanda"		8	93047000000	4028000		9.54	32633.4
"Sri Lanka"		8	81144000000	20743000	0.95	11182.2
"Eslovakia"		4	78262000000	5401000		3.94	36927.3
"Tunisia"		5	76508000000	10102000	2.27	20179.1
"Bielorusia"		4	67902000000	9755000		5.27	NA
"Republica Dominicana"	2	64918000000	8895000		NA	19886.7
"Bulgaria"		4	62292000000	7726000		3.81	NA
"Etiopia"		6	56888000000	77431000	0.85	3648.6
"Croacia"		4	54796000000	4551000		2.35	19191.3
"Guatemala"		2	52926000000	12599000	1.4	10097.3
"Ecuador"		3	51330000000	13228000	2.26	20705.3
"Ghana"			6	48747000000	22113000	1.12	5921.8
"Uzbekistan"		7	48514000000	26593000	2.65	NA
"Lituania"		4	44779000000	3431000		4.76	11573.8
"Eslovenia"		4	41498000000	1967000		5.4	15067.8
"Uganda"		6	40329000000	28816000	0.88	1441.8
"Costa Rica"		2	39823000000	4327000		2.77	5223
"Congo R.Democratica"	6	38493000000	57549000	NA	750
"Nepal"			8	37415000000	27133000	1.01	3229.4
"Camerun"		6	35116000000	16322000	0.89	3413.4
"Azerbaijan"		7	34564000000	8411000		2.18	NA
"Kenya"			6	34504000000	34256000	1.15	10191
