X1	X2	X3	X4	X5	X6	X7	X8	X9
1	2	31	1	5	40	1	3	4000
1	2	40	3	7	36	2	7	1500
1	1	37	3	6	40	6	7	1500
1	2	48	5	8	40	2	3	2000
1	2	36	3	2	40	2	3	1600
1	1	42	1	6	40	6	3	2500
1	2	30	1	3	40	7	3	1500
1	2	29	7	3	40	0	1	2000
1	2	35	3	1	40	2	7	1200
1	2	68	1	19	40	9	2	1200
1	1	39	1	5	40	2	2	1200
1	1	19	7	1	40	2	2	1200
1	2	39	5	4	40	1	6	1000
1	1	37	3	4	72	2	6	1000
1	2	26	7	3	40	0	1	1400
1	1	28	4	4	40	0	1	1400
1	2	25	7	2	40	0	3	1400
1	2	35	5	4	55	2	1	1400
1	2	43	3	8	40	2	1	1300
1	1	40	3	9	40	2	1	1300
1	2	45	7	9	40	2	1	1300
1	1	24	3	2	40	6	1	1300
1	1	28	5	4	48	2	4	1000
1	1	18	7	1	40	8	4	1100
1	2	58	5	12	40	6	4	1000
1	2	49	7	10	40	0	1	2500
1	1	52	3	11	48	8	4	1100
1	2	33	7	3	40	8	2	1200
1	1	36	1	3	40	5	7	1500
1	1	20	7	2	40	5	3	1300
1	1	49	7	12	40	5	3	1300
1	1	41	3	7	40	2	1	3600
1	2	43	3	9	40	0	3	1100
1	1	38	1	6	40	1	3	2000
1	1	34	7	6	40	2	4	1000
1	1	31	1	7	40	6	4	1000
1	1	33	7	3	40	2	3	1200
1	1	18	7	1	48	2	4	1200
1	1	42	3	10	40	5	1	1600
1	1	31	3	3	40	8	4	1400
1	1	41	1	12	48	2	4	1500
1	2	36	1	3	40	0	3	1200
1	1	41	3	11	48	7	4	1800
1	1	33	3	3	40	2	1	1200
1	1	41	3	11	40	2	1	1200
1	2	26	7	3	40	0	3	1500
1	2	41	5	6	48	2	3	1500
1	1	51	7	10	40	2	1	1200
1	1	44	3	9	40	8	2	1200
1	2	48	5	6	40	8	4	1200
1	1	28	5	3	40	0	1	1800
1	1	40	3	9	48	5	4	2000
1	2	27	7	3	48	1	3	1400
2	1	42	1	10	36	0	1	1200
2	1	43	3	11	36	8	2	1200
2	1	43	3	12	40	8	2	1300
2	2	21	7	1	40	0	1	1100
2	2	24	5	3	48	2	6	1000
2	2	52	1	14	48	2	1	1400
2	1	26	3	3	60	5	4	1000
2	1	62	3	17	40	8	1	1500
2	2	48	5	10	40	8	2	1100
2	2	32	5	5	36	0	1	1300
3	2	25	7	2	40	0	3	1300
3	2	50	5	15	25	0	1	1300
3	2	61	6	18	25	0	1	2000
3	1	34	7	5	40	0	3	2000
3	1	41	1	8	40	7	4	1200
3	1	56	3	12	40	8	4	1200
3	1	42	3	9	48	8	2	1200
3	2	31	1	5	40	0	3	3000
3	1	64	1	12	40	8	3	2300
3	2	44	5	10	24	8	8	1200
