X2	X3	X4	X5	X6	X7	X8	X9	X10
9,31	9,08	0	28,7	1,27	1	989,29	196	73
12,04	11,48	0	39,65	1,52	1,4	1566	212	73
12,32	10,28	1	39,94	1,51	1,8	2463,19	221	68
12,29	9,41	1	42,61	1,54	1,2	1530,94	198	88
6,17	5,28	1	21,71	1,23	1,4	1479,2	173	95
8,2	7,47	0	26,64	1,35	1	1088,55	215	104
9,32	7,28	0	28,03	1,41	1,6	1958,65	219	87
8,45	6,75	1	26,26	1,31	1	958,34	161	76
10,2	9,29	0	32,87	1,47	1,8	2393,76	213	89
10,3	8,72	1	31,03	1,34	1,4	1371,87	183	82
6,84	5,98	0	22,42	1,28	1	933,73	193	90
8,77	7,99	1	27,75	1,33	1	870,97	167	74
8,87	8,2	1	28,42	1,4	1,6	1649,34	218	83
10,66	10,09	0	34,49	1,42	1,8	1754,52	199	94
7,55	6,36	0	23,86	1,3	1,6	1822,29	204	81
7,97	6,07	0	25,77	1,32	1,4	1331,89	206	84
7,13	6,23	0	24,12	1,31	1,6	1969,15	198	73
10,05	8,4	0	31,11	1,33	1,2	1274,29	222	84
10,78	10,61	1	35,12	1,35	1,6	1276,04	200	87
11,56	11,64	1	37,77	1,42	1,8	1673,92	215	84
5,34	4,85	0	19,94	1,17	1,4	1254,51	193	78
12,52	9,46	0	40,83	1,56	1,6	2008,37	212	80
8,01	6,71	1	25,98	1,23	1,4	1480,12	201	94
9,57	8,84	1	31,01	1,33	1,6	2044,03	213	89
6,82	6,22	1	20,94	1,26	1,4	1233,58	208	87
11,58	12,08	0	36,3	1,49	1,6	1902,14	213	78
6,03	6,16	1	18,48	1,08	1,2	1234,88	188	81
12,98	13,02	0	43,77	1,49	1	1362,7	193	90
9,48	8,75	0	29,73	1,37	1,4	1633,16	195	78
9,14	8,64	1	26,75	1,41	1,4	1659,39	184	86
6,54	6,06	0	21,23	1,15	1,6	1530,83	203	97
9,72	8,68	1	30,16	1,32	1,6	1519,11	216	84
9,69	7,49	0	30,12	1,43	1,8	2420,47	207	86
10,21	8,91	1	32,74	1,49	1,8	1458,08	212	82
10,7	8,6	1	35,03	1,47	1	1260,83	214	87
7,44	5,99	0	22,86	1,3	1,6	1983,99	233	94
11,78	11,68	0	38,4	1,5	1,6	1300,58	200	86
11,44	9,61	0	38,11	1,49	1	1177,34	193	88
8,79	7,62	0	28,08	1,38	1,6	1297,4	203	80
6,41	5,12	0	20,07	1,23	1,8	2448,36	193	80
9,13	8,38	0	27,28	1,32	1,6	1619,6	210	91
8,02	7,47	0	23,36	1,3	1,2	1058,48	215	72
11,92	9,97	0	41,26	1,53	1,2	1301,52	201	83
10,93	9,43	0	34,05	1,44	1,8	2184,47	225	89
8,22	6,81	0	25,57	1,26	1,2	1516,52	204	95
5,48	4,38	1	19,88	1,07	1,6	1853,68	195	89
5,3	5,54	0	19,21	1,12	1,8	1708,88	224	90
12,56	12,32	0	44,11	1,54	1,6	1397,02	215	85
6,78	5,71	0	20,56	1,23	1	1202,18	210	87
5	4,49	0	17,56	1,12	1,8	2198	177	89
5,18	4,51	0	18,09	1,1	1,4	1844,67	206	102
11,43	11,98	0	34,28	1,41	1,4	1693,74	207	103
5,69	5,6	0	20,52	1,23	1,6	1734,41	208	87
11,92	12,1	0	40,58	1,55	1,4	1575,21	215	83
12,33	12,55	0	40,86	1,45	1,8	1898,98	211	79
10,13	7,61	0	31,74	1,45	1,6	1652,94	186	88
5,08	4,45	0	19,4	1,09	1,4	1189,28	204	88
12,38	10,31	1	41,64	1,47	1,2	1433,46	211	62
6,94	6,85	1	22,94	1,2	1	967,65	192	74
7,19	6,87	0	22,42	1,15	1,2	1396,06	209	88
12,69	10,73	0	41,93	1,57	1,2	991,34	180	88
6,43	6,64	1	19,54	1,23	1,6	1826,1	204	80
5,2	4,57	0	18,95	1,17	1,8	2046,71	190	81
10,22	10,47	1	31,81	1,33	1,6	2088,18	186	76
5,56	5,69	0	18,47	1,07	1,4	1709,74	211	90
9,99	9,95	1	31,04	1,35	1,8	1936,35	187	90
5,19	4,98	1	18,14	1,1	1,4	1309,34	204	95
7,89	7,57	0	24,62	1,24	1,4	1700,28	189	78
6,14	6,16	1	20,85	1,17	1	854,01	185	110
7,01	7,33	0	22,79	1,27	1,6	1446,31	195	82
11,2	9,63	1	35,94	1,48	1,2	1077,56	198	89
12,15	11,3	0	40,9	1,54	1,4	1115,96	212	80
10,79	9,36	0	33,9	1,45	1,4	1736,3	190	72
7,78	7,45	1	24,78	1,21	1,6	1379,05	217	75
10,38	8,84	1	32,29	1,45	1,6	2096,28	216	75
9,27	8,69	0	27,46	1,36	1,4	1487,05	214	87
9,45	8,31	1	30,22	1,35	1,4	1544,47	227	93
7,02	6,91	1	23,56	1,12	1,6	1941,01	205	87
5,19	5,26	0	18,76	1,13	1,8	2398,03	174	87
5,63	5,5	0	20,29	1,11	1,2	994,52	207	83
7,7	6,47	1	24,13	1,17	1,4	1709,73	232	94
5,97	4,54	1	21,18	1,07	1,4	1251,02	214	89
9,66	9,1	1	29,16	1,35	1,6	2025	195	95
12,89	11,2	1	42,13	1,55	1	1323	177	100
9,66	9,57	1	30,66	1,41	1,4	1754,21	199	79
5,29	4,57	0	18,62	1,1	1,6	1581,96	198	95
11,39	8,73	0	36,94	1,4	1,4	1433,23	200	79
8,98	7,14	1	27,75	1,35	1,6	2156,3	206	80
10,63	11,11	0	33,4	1,41	1	1020,52	176	75
5,74	5,59	0	18,97	1,13	1	901,36	201	85
11,17	8,74	0	35,24	1,45	1	1179,6	179	87
5,22	5,48	1	19,44	1,14	1,8	2493,58	190	87
