Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
26,0	5,0272	1,0	3,7160	0,4405	1	2	3	2	17	1
27,4	7,2776	2,0	5,1190	1,6320	3	5	6	3	32	0
26,0	8,4363	1,0	5,5219	1,1191	2	3	4	2	17	1
28,0	5,0693	2,0	5,4851	1,9886	4	6	7	4	18	0
40,1	7,2021	2,0	5,0847	1,6594	3	5	6	3	25	0
44,9	8,4797	2,0	7,8289	1,5268	3	4	5	3	38	0
28,0	7,6385	1,5	6,8681	1,3597	2	4	5	3	19	0
32,0	7,6085	3,0	7,8155	2,1814	5	6	7	4	27	0
34,6	6,3991	2,0	8,5793	2,0151	4	6	7	4	46	0
32,0	5,7779	2,0	6,0094	1,8839	4	6	7	3	29	0
26,8	5,6824	1,0	4,7184	1,0830	2	3	4	2	20	1
43,8	8,5769	3,0	8,8413	2,0898	4	6	7	4	46	0
31,9	8,0594	2,0	3,5853	1,8294	4	6	7	3	46	0
29,0	5,1378	2,0	6,7836	1,5690	3	5	6	3	37	0
44,7	6,4044	1,5	7,4829	1,2955	2	4	5	3	33	0
33,1	7,5029	1,0	3,7615	0,4668	1	2	3	2	35	1
42,3	7,2736	1,0	7,8811	0,8859	1	2	3	2	44	1
39,3	5,2323	1,5	6,6111	1,3787	2	4	5	3	33	0
41,2	6,3185	1,0	5,3736	1,0280	2	3	4	2	22	1
45,5	6,3380	1,0	7,1818	1,0668	2	3	4	2	20	1
27,7	5,1594	2,5	7,6309	2,6891	5	7	8	4	26	0
28,8	8,5772	2,0	6,1104	1,4837	3	4	5	3	48	0
34,0	7,0555	1,0	3,0557	0,9622	1	3	4	2	29	1
30,1	7,6865	1,0	6,3276	0,2523	1	2	3	2	45	1
44,5	6,4460	1,0	9,2318	0,3674	1	2	3	2	18	1
29,2	6,6293	1,5	3,4299	1,3965	3	4	5	3	32	0
33,7	7,0092	2,0	8,5924	1,5917	3	5	6	3	25	0
28,9	5,3487	2,0	7,0533	1,6417	3	5	6	3	38	0
34,8	7,1498	2,0	5,0648	1,6810	3	5	6	3	20	0
38,8	6,9719	2,0	8,7507	1,6880	3	5	6	3	44	0
42,3	6,8380	1,0	5,8922	1,0674	2	3	4	2	44	1
33,2	7,4858	2,0	10,0185	1,7624	4	5	6	3	26	0
41,4	8,0134	2,0	5,6233	1,4902	3	4	5	3	20	0
28,2	7,9333	1,5	9,5020	1,3622	2	4	5	3	33	0
40,8	7,8241	1,0	4,4981	0,7619	1	2	3	2	43	1
34,6	7,0253	2,0	6,8007	1,6886	3	5	6	3	46	0
37,9	9,0243	2,0	9,3329	1,9437	4	6	7	4	47	0
44,0	5,2479	2,0	7,3702	1,9775	4	6	7	4	27	0
37,3	8,8907	2,0	8,3448	1,5769	3	5	6	3	18	0
31,7	5,5499	1,5	8,7642	1,2926	2	4	5	3	26	0
28,7	8,3176	2,5	8,5381	2,1295	5	6	7	4	31	0
40,1	6,1618	2,0	8,0796	1,8534	4	6	7	3	18	0
39,8	6,0085	2,5	4,5505	2,4045	5	7	8	4	39	0
44,6	5,2897	3,0	7,6318	2,2743	5	7	8	4	42	0
30,2	6,1111	2,0	7,6551	1,6014	3	5	6	3	46	0
27,0	7,8429	1,0	4,7629	1,0171	2	3	4	2	30	1
27,0	8,0303	2,0	7,3877	1,5044	3	4	5	3	19	0
36,4	5,4040	1,0	8,4007	1,1913	2	3	4	2	30	0
29,1	8,1321	2,5	4,3561	2,0972	4	6	7	4	24	0
29,6	6,1579	1,0	7,1066	1,1481	2	3	4	2	37	0
38,6	6,7520	2,0	8,9504	1,9375	4	6	7	4	38	0
31,6	7,8334	3,0	7,9297	2,0568	4	6	7	4	46	0
26,6	8,5768	2,5	5,2589	2,9150	5	7	8	4	23	0
26,6	8,1617	2,5	4,7944	3,2656	5	7	8	4	36	0
41,0	5,8991	2,0	5,8733	1,6936	3	5	6	3	24	0
35,1	7,0945	1,5	6,4968	1,4155	3	4	5	3	19	0
27,4	8,8785	1,0	3,2997	1,2398	2	3	4	3	26	0
37,2	7,2138	1,0	6,4344	1,2859	2	3	4	3	40	0
28,7	5,6268	2,5	6,0450	2,0495	4	6	7	4	39	0
39,1	6,3859	1,0	9,1780	0,5610	1	2	3	2	46	1
