Y	X1	X2	X3	X4	X5	X6
0	3	4	0	0,6	20,04	70,17
0	3	4	0	0,8	24,36	86,74
0	3	4	0	1	22,77	80,72
99	3	4	1	0,6	24,33	73,02
0	3	4	1	0,8	21,40	87,57
0	3	4	1	1	23,56	76,95
70	4	4	0	0,6	26,30	77,58
0	4	4	0	0,8	27,52	75,71
0	4	4	0	1	29,16	72,22
74	4	4	1	0,6	22,44	87,25
30	4	4	1	0,8	20,66	86,80
20	4	4	1	1	28,91	89,17
30	3	5	0	0,6	29,26	84,13
43	3	5	0	0,8	26,32	87,60
43	3	5	0	1	25,58	78,41
80	3	5	1	0,6	27,14	73,39
49	3	5	1	0,8	27,33	83,09
55	3	5	1	1	28,59	89,48
72	4	5	0	0,6	24,88	75,63
74	4	5	0	0,8	23,96	75,83
36	4	5	0	1	23,49	85,36
55	4	5	1	0,6	27,84	78,13
44	4	5	1	0,8	21,16	70,54
45	4	5	1	1	21,42	86,92
35	5	5	0	0,6	27,04	89,74
48	5	5	0	0,8	24,78	77,04
26	5	5	0	1	21,39	83,06
55	5	5	1	0,6	26,38	85,57
27	5	5	1	0,8	29,21	73,38
25	5	5	1	1	25,38	82,86
98	3	6	0	0,6	23,64	88,87
78	3	6	0	0,8	21,44	77,92
100	3	6	0	1	26,54	88,23
75	3	6	1	0,6	21,89	78,67
99	3	6	1	0,8	20,43	71,94
100	3	6	1	1	26,38	82,34
100	4	6	0	0,6	22,89	78,52
100	4	6	0	0,8	28,23	83,98
76	4	6	0	1	28,74	87,21
80	4	6	1	0,6	29,14	83,75
69	4	6	1	0,8	22,69	70,06
69	4	6	1	1	21,29	89,32
60	5	6	0	0,6	22,26	89,12
62	5	6	0	0,8	20,42	70,69
60	5	6	0	1	23,41	71,91
78	5	6	1	0,6	24,82	73,80
60	5	6	1	0,8	26,08	71,56
85	5	6	1	1	20,97	77,82
52	6	6	0	0,6	20,05	81,02
25	6	6	0	0,8	27,40	73,59
23	6	6	0	1	29,03	74,89
44	6	6	1	0,6	25,55	87,38
45	6	6	1	0,8	29,26	70,57
20	6	6	1	1	21,00	79,51
80	3	7	0	0,6	24,25	85,71
98	3	7	0	0,8	22,79	72,50
100	3	7	0	1	26,26	72,49
90	3	7	1	0,6	21,76	71,83
100	3	7	1	0,8	22,96	84,89
76	3	7	1	1	24,84	75,52
95	4	7	0	0,6	21,99	74,94
85	4	7	0	0,8	29,62	70,45
100	4	7	0	1	22,07	89,55
95	4	7	1	0,6	25,98	84,54
