X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23
A	FA	4,57	4,72	0,25	2,14	16	39,5	4,15	0,41	3,49	0,51	0,40	0,42	14,70	14,46	169,69	175,31	44,16	245,45	14,39	v826	FSO
A	FA	4,03	1,81	0,27	1,29	15	35,9	3,56	0,40	3,50	0,49	0,40	0,41	16,06	15,93	168,74	176,72	42,19	243,18	14,40	v826	FSO
A	FA	3,58	2,10	0,24	1,67	16	38,9	3,40	0,39	3,49	0,49	0,40	0,41	12,94	16,64	170,65	175,87	45,46	244,50	14,42	v826	FSO
A	FA	3,53	2,11	0,26	2,43	16	39,3	4,58	0,39	3,50	0,49	0,40	0,40	12,95	16,26	170,30	174,78	43,94	243,43	14,41	v826	FSO
A	FA	4,52	3,43	0,25	1,55	15	35,8	4,10	0,40	3,51	0,52	0,39	0,41	15,15	16,33	170,77	173,67	46,04	244,51	14,40	v826	FSO
A	FA	3,27	2,39	0,24	1,65	16	38,5	4,56	0,40	3,50	0,50	0,41	0,39	14,73	14,82	171,56	175,24	46,38	246,24	14,39	v826	FSO
A	FA	3,97	2,56	0,23	1,97	16	38,8	3,41	0,40	3,49	0,49	0,39	0,40	14,93	14,82	170,78	173,95	46,61	243,87	14,40	v826	FSO
A	FA	3,37	2,89	0,25	2,03	15	36,7	4,92	0,40	3,51	0,50	0,41	0,41	15,20	15,19	168,14	174,39	45,69	243,48	14,41	v826	FSO
A	FA	2,38	1,80	0,25	1,27	17	40,9	3,69	0,42	3,50	0,50	0,40	0,40	15,56	12,99	168,13	175,15	43,63	245,61	14,39	v826	FSO
A	FA	4,46	3,07	0,26	2,79	16	37,3	3,50	0,39	3,50	0,51	0,39	0,41	15,85	13,60	168,44	175,04	46,29	241,43	14,39	v826	FSO
A	FA	3,13	2,65	0,26	1,79	15	35,5	3,18	0,39	3,50	0,50	0,41	0,42	15,70	13,73	169,72	175,58	44,15	244,84	14,39	v826	FSO
A	FA	1,65	1,60	0,27	0,68	18	42,1	4,71	0,39	3,49	0,50	0,39	0,39	14,73	14,68	168,76	176,10	45,57	244,61	14,42	v826	FSO
A	FA	3,81	2,77	0,25	1,94	15	37,1	3,81	0,39	3,50	0,50	0,38	0,41	15,16	16,07	170,21	174,18	46,34	243,68	14,39	v826	FSO
A	FA	3,97	2,81	0,24	3,13	15	36,4	3,03	0,41	3,50	0,50	0,39	0,39	16,05	14,30	170,41	174,09	43,78	246,21	14,40	v826	FSO
A	FA	3,27	2,37	0,26	2,05	18	42,1	4,36	0,40	3,49	0,51	0,40	0,40	14,96	15,44	169,57	173,89	44,08	243,42	14,40	v826	FSO
A	FA	3,04	4,73	0,25	1,76	19	44,7	4,29	0,40	3,51	0,49	0,42	0,39	14,35	15,64	171,55	175,41	45,24	242,47	14,41	v826	FSO
A	FA	5,57	4,54	0,26	0,92	19	45,2	4,04	0,41	3,50	0,51	0,41	0,38	16,21	14,77	170,48	176,70	45,20	242,59	14,40	v826	FSO
A	FA	3,63	3,76	0,26	1,81	16	38,5	4,17	0,41	3,49	0,51	0,40	0,40	16,35	14,43	168,92	175,97	44,79	244,55	14,41	v826	FSO
A	FA	4,71	1,52	0,26	2,43	15	36,1	3,42	0,40	3,51	0,50	0,41	0,38	14,28	13,53	169,29	176,57	43,63	246,14	14,40	v826	FSO
A	FA	5,15	1,55	0,25	2,21	17	40,1	4,08	0,40	3,49	0,52	0,40	0,39	15,01	15,75	169,76	173,43	46,30	243,93	14,40	v826	FSO
A	FA	3,47	3,51	0,26	2,24	16	38,5	4,14	0,39	3,51	0,49	0,40	0,39	16,83	14,72	172,02	175,79	43,48	246,46	14,40	v826	FSO
A	FA	3,18	1,71	0,26	2,24	16	38,4	5,17	0,41	3,49	0,51	0,40	0,40	16,11	15,73	170,43	174,32	44,98	244,25	14,41	v826	FSO
A	FA	5,54	4,95	0,26	1,64	16	38,6	4,96	0,40	3,50	0,50	0,40	0,41	15,85	13,89	169,25	175,98	43,83	243,65	14,38	v826	FSO
A	FA	4,66	3,51	0,26	1,41	15	35,6	3,70	0,39	3,50	0,50	0,39	0,39	14,14	15,18	170,01	174,69	45,46	244,14	14,39	v826	FSO
A	FA	4,61	3,13	0,26	2,35	14	32,7	3,72	0,38	3,49	0,49	0,39	0,41	14,68	15,48	170,50	175,33	45,03	242,51	14,39	v826	FSO
A	FA	3,35	2,39	0,26	1,42	16	39,5	4,30	0,41	3,51	0,50	0,41	0,39	15,24	14,57	170,31	176,04	46,81	243,19	14,40	v826	FSO
A	FA	3,61	2,91	0,28	2,02	16	37,2	3,40	0,39	3,50	0,51	0,41	0,40	17,33	15,48	169,38	176,25	44,84	244,94	14,41	v826	FSO
A	FA	4,17	0,68	0,25	1,95	15	36,0	4,23	0,39	3,49	0,49	0,40	0,40	13,72	14,60	168,72	177,26	44,02	245,04	14,41	v826	FSO
A	FA	4,47	4,20	0,25	0,90	14	33,7	4,97	0,40	3,51	0,50	0,40	0,40	15,48	15,43	169,67	176,56	46,21	245,52	14,38	v826	FSO
A	FA	3,43	1,91	0,25	1,95	16	38,0	4,64	0,39	3,49	0,49	0,40	0,41	14,37	14,23	169,62	175,25	45,94	244,54	14,41	v826	FSO
A	FA	4,32	3,36	0,25	1,16	15	35,7	3,83	0,40	3,51	0,50	0,41	0,38	14,72	16,11	168,55	173,98	46,17	244,41	14,41	v826	FSO
A	FA	4,58	2,42	0,25	2,16	16	38,8	4,29	0,41	3,50	0,51	0,40	0,39	15,45	15,57	169,30	174,97	46,04	243,00	14,40	v826	FSO
A	FA	3,17	0,03	0,26	1,81	17	41,0	4,34	0,40	3,50	0,48	0,40	0,41	14,59	15,47	169,57	175,38	44,11	243,86	14,40	v826	FSO
A	FA	4,25	1,68	0,25	0,91	18	43,2	3,36	0,38	3,47	0,50	0,40	0,41	14,19	13,64	168,88	174,06	44,31	246,25	14,42	v826	FSO
A	FA	3,48	3,38	0,25	2,28	17	40,7	3,72	0,40	3,50	0,50	0,40	0,40	16,68	13,66	172,42	174,83	43,74	244,97	14,41	v826	FSO
A	FA	5,24	0,01	0,25	1,66	16	39,2	4,46	0,39	3,50	0,50	0,39	0,40	13,04	15,09	170,68	175,45	44,15	244,58	14,40	v826	FSO
A	FA	2,73	1,52	0,26	1,46	15	36,6	4,12	0,41	3,51	0,51	0,40	0,40	15,48	13,31	170,36	174,88	44,17	244,91	14,41	v826	FSO
A	FA	5,41	1,67	0,25	1,58	16	38,7	4,92	0,40	3,50	0,48	0,39	0,40	14,36	14,06	169,02	174,98	44,09	244,34	14,42	v826	FSO
A	FA	5,66	1,04	0,25	1,70	17	40,4	4,27	0,41	3,50	0,49	0,40	0,39	15,66	15,27	169,10	175,10	46,03	244,84	14,39	v826	FSO
A	FA	4,99	1,29	0,24	0,33	17	40,5	3,55	0,39	3,52	0,51	0,40	0,39	15,15	14,48	169,52	173,88	44,03	245,02	14,39	v826	FSO
A	FA	4,09	2,84	0,27	1,50	16	37,9	4,06	0,40	3,49	0,50	0,40	0,40	13,99	14,74	170,20	174,72	45,14	244,46	14,40	v826	FSO
A	FA	4,98	2,09	0,24	1,26	17	39,8	3,51	0,41	3,50	0,51	0,38	0,39	14,68	15,87	169,46	175,28	44,22	242,68	14,40	v826	FSO
A	FA	4,13	3,94	0,25	1,60	17	40,0	4,62	0,41	3,51	0,50	0,41	0,40	14,88	16,97	171,23	172,96	45,07	244,53	14,39	v826	FSO
A	FA	4,86	2,64	0,25	2,04	17	40,0	3,97	0,40	3,50	0,49	0,41	0,41	14,79	14,81	170,64	173,37	43,97	245,12	14,40	v826	FSO
A	FA	1,95	0,80	0,26	1,32	16	38,3	3,95	0,39	3,50	0,50	0,41	0,41	14,66	15,66	171,48	175,34	43,14	244,87	14,40	v826	FSO
