X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22
I	1	1	0	0	0,13	22,77	0,42	38,07	14,80	0,14	0,22	10,01	0,33	0,32	1,39	1,92	0,18	60,47	14,68	15,45	2,00
I	1	1	0	1	0,45	10,06	0,37	38,01	14,68	0,17	0,24	12,00	0,34	0,47	1,95	2,60	0,74	16,62	13,49	6,90	2,78
I	1	1	1	0	0,30	10,35	0,27	38,77	14,34	0,81	0,21	31,78	0,40	0,10	1,12	1,17	0,21	24,97	15,39	22,42	1,58
I	1	1	1	1	0,17	22,13	0,25	38,61	13,92	0,51	0,28	15,64	0,36	0,36	1,09	1,01	0,89	74,91	12,38	27,83	3,80
I	1	1	1	1	0,27	32,74	0,32	39,10	13,72	0,26	0,48	8,24	0,16	0,50	0,73	2,41	0,14	69,85	16,26	24,91	3,26
I	0	0	1	0	0,31	11,60	0,38	38,48	14,29	0,18	0,13	14,36	0,49	0,10	0,72	1,52	0,64	17,58	13,88	25,15	1,62
I	1	0	1	0	0,36	11,22	0,31	38,31	12,71	0,98	0,37	20,86	0,37	0,18	2,23	3,39	0,35	3,01	15,16	29,44	1,05
I	0	1	1	0	0,27	8,11	0,15	38,17	12,85	0,49	0,48	16,92	0,31	0,22	1,54	1,56	0,21	23,20	12,42	24,54	3,35
I	1	0	0	0	0,16	3,10	0,29	38,87	10,75	0,64	0,46	29,03	0,39	0,29	1,82	2,66	0,54	40,60	13,66	13,18	1,16
I	1	1	1	1	0,40	31,09	0,38	39,81	12,85	0,89	0,11	24,08	0,46	0,39	2,34	3,01	0,71	60,72	16,17	11,44	2,55
I	1	0	1	1	0,26	16,54	0,14	38,90	14,91	0,41	0,48	24,29	0,17	0,11	2,74	2,05	0,25	23,79	15,32	10,71	2,37
I	0	0	1	1	0,30	35,06	0,45	38,47	10,83	0,84	0,43	34,89	0,25	0,33	2,68	1,26	0,32	69,25	16,82	26,64	1,95
I	0	1	0	1	0,42	10,29	0,18	38,98	11,31	0,41	0,37	14,46	0,24	0,48	2,82	2,48	0,58	29,89	17,13	29,22	2,01
I	0	0	1	1	0,14	3,18	0,49	39,80	10,91	0,48	0,37	20,81	0,42	0,19	2,55	3,11	0,63	41,17	16,36	10,44	2,17
I	0	1	1	1	0,43	32,48	0,31	39,27	13,01	0,30	0,19	22,04	0,12	0,13	1,91	1,11	0,99	25,95	13,62	15,88	1,81
I	0	1	0	0	0,42	18,08	0,19	38,28	14,88	0,87	0,49	36,89	0,48	0,35	2,55	2,95	0,93	3,74	13,90	22,30	2,34
I	1	1	0	1	0,36	9,23	0,41	38,84	11,39	0,46	0,36	24,61	0,30	0,32	2,97	1,18	0,34	20,88	13,23	8,76	3,90
I	1	1	1	1	0,32	19,37	0,25	39,70	12,73	0,39	0,35	18,22	0,36	0,15	1,66	3,33	0,30	57,43	14,17	11,54	3,78
I	1	1	0	1	0,18	5,22	0,25	39,16	10,24	0,84	0,34	28,69	0,19	0,32	1,33	3,11	0,14	59,57	15,17	11,55	3,64
I	0	1	1	0	0,31	26,53	0,13	38,64	14,58	0,75	0,43	8,65	0,42	0,10	2,80	3,02	0,41	6,84	16,23	6,59	2,50
I	1	1	0	1	0,24	11,47	0,37	39,88	14,10	0,91	0,31	37,97	0,13	0,40	2,86	2,11	0,42	26,18	14,80	27,70	1,56
I	1	1	1	1	0,23	29,33	0,26	38,19	14,99	0,63	0,45	29,82	0,24	0,27	0,90	1,11	0,84	29,35	17,29	7,37	1,73
I	0	1	1	0	0,41	16,45	0,46	38,54	14,47	0,33	0,34	17,09	0,19	0,14	2,10	2,62	0,32	13,78	13,47	21,98	3,31
I	1	1	1	1	0,36	9,08	0,42	38,17	10,81	0,98	0,32	29,47	0,15	0,15	2,76	1,36	0,39	10,13	13,37	8,01	2,32
I	0	1	1	1	0,43	35,04	0,46	39,34	11,72	0,75	0,14	27,30	0,45	0,16	0,87	1,09	0,85	25,52	12,55	17,96	1,96
I	1	0	0	0	0,21	32,61	0,32	39,07	11,77	0,98	0,24	10,85	0,31	0,32	1,21	1,97	0,10	14,57	13,02	10,08	3,28
I	0	1	1	0	0,29	29,48	0,28	38,42	11,60	0,74	0,35	38,59	0,26	0,22	2,04	2,89	0,27	0,86	13,92	12,30	3,87
I	0	1	1	0	0,13	3,84	0,42	38,71	14,84	0,81	0,18	29,07	0,18	0,47	2,37	1,39	0,76	28,46	15,62	22,70	0,53
I	1	0	0	1	0,41	16,26	0,20	39,80	11,71	0,16	0,25	26,06	0,13	0,27	1,83	2,26	0,52	5,45	13,03	25,94	1,55
I	1	1	0	0	0,19	11,28	0,28	38,22	14,40	0,26	0,45	34,89	0,29	0,21	1,15	1,93	0,41	64,88	16,15	28,54	1,11
I	1	1	1	1	0,37	3,82	0,30	38,02	13,88	0,81	0,24	37,24	0,17	0,10	1,14	2,74	0,35	29,07	13,37	22,04	2,90
I	1	1	0	1	0,45	24,11	0,15	38,78	10,21	0,64	0,10	29,30	0,19	0,13	1,52	1,11	0,77	65,75	17,53	25,66	1,87
I	1	1	0	1	0,22	15,51	0,38	38,86	10,12	0,96	0,45	10,79	0,29	0,47	1,35	1,58	0,38	1,15	12,82	18,02	3,77
I	1	0	1	1	0,24	5,45	0,38	38,44	12,12	0,29	0,28	33,15	0,44	0,36	0,98	1,53	0,34	70,30	14,04	21,20	2,16
I	1	0	1	1	0,21	4,23	0,17	39,48	14,57	0,48	0,35	20,54	0,26	0,48	2,17	1,26	0,11	23,16	16,46	15,03	3,11
I	0	1	0	0	0,16	15,02	0,23	38,43	12,97	0,97	0,14	34,73	0,23	0,35	1,28	3,35	0,59	50,59	15,61	11,45	2,50
I	0	1	0	0	0,23	16,20	0,48	39,16	14,18	0,28	0,16	29,71	0,41	0,48	2,76	3,00	0,56	7,65	14,62	29,01	2,80
I	1	1	1	1	0,46	39,52	0,26	39,29	11,09	0,25	0,48	24,67	0,33	0,36	2,88	3,09	0,17	49,91	14,61	25,99	2,00
I	0	1	1	1	0,40	28,35	0,34	39,94	14,11	0,14	0,34	10,30	0,36	0,26	2,94	3,33	0,11	53,67	14,34	13,71	1,14
I	0	1	0	0	0,28	14,33	0,32	39,10	11,71	0,26	0,29	16,92	0,25	0,14	2,59	1,14	0,31	57,29	13,76	21,89	2,95
II	0	1	1	1	0,45	20,92	0,25	38,08	11,02	0,76	0,16	14,49	0,12	0,42	1,44	1,97	0,22	1,72	14,26	20,65	3,43
II	1	0	0	1	0,31	24,62	0,37	39,95	10,46	0,59	0,31	31,74	0,24	0,43	1,91	3,46	0,53	60,14	12,47	6,58	2,80
II	1	1	1	1	0,46	25,42	0,26	39,62	13,41	0,17	0,28	20,71	0,49	0,26	1,45	2,36	0,94	44,04	15,83	12,03	3,69
II	0	1	0	1	0,17	28,21	0,28	39,03	10,69	0,53	0,42	30,34	0,27	0,11	2,52	2,46	0,66	67,31	14,14	12,52	2,92
